epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
1840	0.8777	0.4201	29440	4.23 hr	26.73s	55.35s	82.17s
1850	0.8770	0.4567	29600	4.26 hr	29.63s	55.34s	85.06s
1860	0.8750	0.3967	29760	4.29 hr	27.13s	55.34s	82.58s
1870	0.8762	0.4110	29920	4.32 hr	26.95s	55.34s	82.38s
1880	0.8759	0.4178	30080	4.35 hr	27.26s	55.33s	82.70s
1890	0.8762	0.3691	30240	4.38 hr	26.74s	55.35s	82.17s
1900	0.8747	0.4348	30400	4.41 hr	28.03s	55.36s	83.46s
1910	0.8756	0.3775	30560	4.44 hr	30.82s	55.35s	86.26s
1920	0.8744	0.4751	30720	4.47 hr	28.55s	55.35s	84.66s
1930	0.8760	0.4477	30880	4.51 hr	26.18s	55.33s	81.59s
1940	0.8765	0.4113	31040	4.54 hr	28.25s	55.33s	83.67s
1950	0.8764	0.4074	31200	4.57 hr	30.17s	55.34s	85.60s
1960	0.8768	0.3948	31360	4.60 hr	28.93s	55.34s	84.36s
1970	0.8768	0.4088	31520	4.63 hr	26.73s	55.32s	82.15s
1980	0.8767	0.4031	31680	4.66 hr	27.25s	55.35s	82.70s
1990	0.8765	0.4299	31840	4.69 hr	29.19s	55.34s	84.62s
2000	0.8769	0.4188	32000	4.73 hr	27.98s	55.33s	83.39s
2005	0.8772	0.4305	32080	4.75 hr	27.99s	55.33s	83.42s
2010	0.8772	0.3479	32160	4.77 hr	26.43s	55.33s	81.85s
2015	0.8773	0.3884	32240	4.79 hr	25.96s	55.32s	81.36s
2020	0.8772	0.4200	32320	4.82 hr	27.16s	55.34s	82.58s
2025	0.8771	0.4239	32400	4.84 hr	28.33s	55.34s	83.75s
2030	0.8771	0.4535	32480	4.86 hr	26.64s	55.33s	82.05s
2035	0.8771	0.3844	32560	4.89 hr	29.22s	55.33s	84.65s
2040	0.8770	0.3940	32640	4.91 hr	27.73s	55.35s	83.17s
2045	0.8771	0.4336	32720	4.94 hr	28.73s	55.36s	84.20s
2050	0.8771	0.4021	32800	4.96 hr	28.05s	55.36s	83.50s
2055	0.8771	0.3902	32880	4.98 hr	25.61s	55.33s	81.03s
2060	0.8771	0.4389	32960	5.00 hr	26.89s	55.34s	82.31s
2065	0.8771	0.4079	33040	5.03 hr	26.16s	55.33s	81.58s
2070	0.8771	0.4147	33120	5.05 hr	26.12s	55.34s	81.54s
2075	0.8771	0.3948	33200	5.07 hr	27.28s	55.34s	82.70s
